atc_idx,atc_code
809,A16AX10
810,A16AX11
811,A16AX12
812,A16AX13
813,A16AX14
814,A16AX15
815,A16AX16
816,A16AX17
817,A16AX18
818,A16AX19
819,A16AX20
820,A16AX30
821,B
822,B01
823,B01A
824,B01AA
825,B01AA01
826,B01AA02
827,B01AA03
828,B01AA04
829,B01AA07
830,B01AA08
831,B01AA09
832,B01AA10
833,B01AA11
834,B01AA12
835,B01AB
836,B01AB01
837,B01AB02
838,B01AB04
839,B01AB05
840,B01AB06
841,B01AB07
842,B01AB08
843,B01AB09
844,B01AB10
845,B01AB11
846,B01AB12
847,B01AB51
848,B01AC
849,B01AC01
850,B01AC02
851,B01AC03
852,B01AC04
853,B01AC05
854,B01AC06
855,B01AC07
856,B01AC08
857,B01AC09
858,B01AC10
859,B01AC11
860,B01AC13
861,B01AC15
862,B01AC16
863,B01AC17
864,B01AC18
865,B01AC19
866,B01AC21
867,B01AC22
868,B01AC23
869,B01AC24
870,B01AC25
871,B01AC26
872,B01AC27
873,B01AC30
874,B01AC56
875,B01AD
876,B01AD01
877,B01AD02
878,B01AD03
879,B01AD04
880,B01AD05
881,B01AD06
882,B01AD07
883,B01AD08
884,B01AD09
885,B01AD10
886,B01AD11
887,B01AD12
888,B01AE
889,B01AE01
890,B01AE02
891,B01AE03
892,B01AE04
893,B01AE05
894,B01AE06
895,B01AE07
896,B01AF
897,B01AF01
898,B01AF02
899,B01AF03
900,B01AF04
901,B01AX
902,B01AX01
903,B01AX04
904,B01AX05
905,B01AX07
906,B02
907,B02A
908,B02AA
909,B02AA01
910,B02AA02
911,B02AA03
912,B02AB
913,B02AB01
914,B02AB02
915,B02AB04
916,B02AB05
917,B02B
918,B02BA
919,B02BA01
920,B02BA02
921,B02BB
922,B02BB01
923,B02BC
924,B02BC01
925,B02BC02
926,B02BC03
927,B02BC05
928,B02BC06
929,B02BC07
930,B02BC08
931,B02BC09
932,B02BC30
933,B02BD
934,B02BD01
935,B02BD02
936,B02BD03
937,B02BD04
938,B02BD05
939,B02BD06
940,B02BD07
941,B02BD08
942,B02BD10
943,B02BD11
944,B02BD13
945,B02BD14
946,B02BD30
947,B02BX
948,B02BX01
949,B02BX02
950,B02BX03
951,B02BX04
952,B02BX05
953,B02BX06
954,B02BX07
955,B02BX08
956,B02BX09
957,B03
958,B03A
959,B03AA
960,B03AA01
961,B03AA02
962,B03AA03
963,B03AA04
964,B03AA05
965,B03AA06
966,B03AA07
967,B03AA08
968,B03AA09
969,B03AA10
970,B03AA11
971,B03AA12
972,B03AB
973,B03AB01
974,B03AB02
975,B03AB03
976,B03AB04
977,B03AB05
978,B03AB07
979,B03AB08
980,B03AB09
981,B03AB10
982,B03AC
983,B03AD
984,B03AD01
985,B03AD02
986,B03AD03
987,B03AD04
988,B03AD05
989,B03AE
990,B03AE01
991,B03AE02
992,B03AE03
993,B03AE04
994,B03AE10
995,B03B
996,B03BA
997,B03BA01
998,B03BA02
999,B03BA03
1000,B03BA04
1001,B03BA05
1002,B03BA51
1003,B03BA53
1004,B03BB
1005,B03BB01
1006,B03BB51
1007,B03X
1008,B03XA
1009,B03XA01
1010,B03XA02
1011,B03XA03
1012,B03XA04
1013,B03XA05
1014,B03XA06
1015,B03XA07
1016,B03XA08
1017,B05
1018,B05A
1019,B05AA
1020,B05AA01
1021,B05AA02
1022,B05AA03
1023,B05AA05
1024,B05AA06
1025,B05AA07
1026,B05AA08
1027,B05AA09
1028,B05AA10
1029,B05AX
1030,B05AX01
1031,B05AX02
1032,B05AX03
1033,B05AX04
1034,B05B
1035,B05BA
1036,B05BA01
1037,B05BA02
1038,B05BA03
1039,B05BA04
1040,B05BA10
1041,B05BB
1042,B05BB01
1043,B05BB02
1044,B05BB03
1045,B05BB04
1046,B05BC
1047,B05BC01
1048,B05BC02
1049,B05C
1050,B05CA
1051,B05CA01
1052,B05CA02
1053,B05CA03
1054,B05CA04
1055,B05CA05
1056,B05CA06
1057,B05CA07
1058,B05CA08
1059,B05CA09
1060,B05CA10
1061,B05CB
1062,B05CB01
1063,B05CB02
1064,B05CB03
1065,B05CB04
1066,B05CB10
1067,B05CX
1068,B05CX01
1069,B05CX02
1070,B05CX03
1071,B05CX04
1072,B05CX10
1073,B05D
1074,B05DA
1075,B05DB
1076,B05X
1077,B05XA
1078,B05XA01
1079,B05XA02
1080,B05XA03
1081,B05XA04
1082,B05XA05
1083,B05XA06
1084,B05XA07
1085,B05XA08
1086,B05XA09
1087,B05XA10
1088,B05XA11
1089,B05XA12
1090,B05XA13
1091,B05XA14
1092,B05XA15
1093,B05XA16
1094,B05XA17
1095,B05XA18
1096,B05XA30
1097,B05XA31
1098,B05XB
1099,B05XB01
1100,B05XB02
1101,B05XB03
1102,B05XC
1103,B05XX
1104,B05XX02
1105,B05Z
1106,B05ZA
1107,B05ZB
1108,B06
1109,B06A
1110,B06AA
1111,B06AA02
1112,B06AA03
1113,B06AA04
1114,B06AA07
1115,B06AA10
1116,B06AA55
1117,B06AB
1118,B06AB01
1119,B06AC
1120,B06AC01
1121,B06AC02
1122,B06AC03
1123,B06AC04
1124,B06AC05
1125,B06AC06
1126,B06AX
1127,B06AX01
1128,B06AX02
1129,B06AX03
1130,C
1131,C01
1132,C01A
1133,C01AA
1134,C01AA01
1135,C01AA02
1136,C01AA03
1137,C01AA04
1138,C01AA05
1139,C01AA06
1140,C01AA07
1141,C01AA08
1142,C01AA09
1143,C01AA52
1144,C01AB
1145,C01AB01
1146,C01AB51
1147,C01AC
1148,C01AC01
1149,C01AC03
1150,C01AX
1151,C01AX02
1152,C01B
1153,C01BA
1154,C01BA01
1155,C01BA02
1156,C01BA03
1157,C01BA04
1158,C01BA05
1159,C01BA08
1160,C01BA12
1161,C01BA13
1162,C01BA51
1163,C01BA71
1164,C01BB
1165,C01BB01
1166,C01BB02
1167,C01BB03
1168,C01BB04
1169,C01BC
1170,C01BC03
1171,C01BC04
1172,C01BC07
1173,C01BC08
1174,C01BC09
1175,C01BD
1176,C01BD01
1177,C01BD02
1178,C01BD03
1179,C01BD04
1180,C01BD05
1181,C01BD06
1182,C01BD07
1183,C01BG
1184,C01BG01
1185,C01BG07
1186,C01BG11
1187,C01C
1188,C01CA
1189,C01CA01
1190,C01CA02
1191,C01CA03
1192,C01CA04
1193,C01CA05
1194,C01CA06
1195,C01CA07
1196,C01CA08
1197,C01CA09
1198,C01CA10
1199,C01CA11
1200,C01CA12
1201,C01CA13
1202,C01CA14
1203,C01CA15
1204,C01CA16
