icd_idx,icd_code
1029,C6991
1030,C6992
1031,C71
1032,C710
1033,C711
1034,C712
1035,C713
1036,C714
1037,C715
1038,C716
1039,C717
1040,C718
1041,C719
1042,C72
1043,C720
1044,C721
1045,C722
1046,C7220
1047,C7221
1048,C7222
1049,C723
1050,C7230
1051,C7231
1052,C7232
1053,C724
1054,C7240
1055,C7241
1056,C7242
1057,C7250
1058,C7259
1059,C729
1060,C73-C75
1061,C75
1062,C750
1063,C751
1064,C752
1065,C753
1066,C754
1067,C755
1068,C758
1069,C759
1070,C76-C80
1071,C76
1072,C762
1073,C763
1074,C764
1075,C7640
1076,C7641
1077,C7642
1078,C765
1079,C7650
1080,C7651
1081,C7652
1082,C768
1083,C77
1084,C771
1085,C772
1086,C773
1087,C774
1088,C775
1089,C778
1090,C779
1091,C78
1092,C780
1093,C7800
1094,C7801
1095,C7802
1096,C781
1097,C782
1098,C783
1099,C7830
1100,C7839
1101,C784
1102,C785
1103,C786
1104,C788
1105,C7880
1106,C79
1107,C790
1108,C7900
1109,C7901
1110,C7902
1111,C791
1112,C7910
1113,C7911
1114,C7919
1115,C792
1116,C793
1117,C7931
1118,C7932
1119,C794
1120,C7940
1121,C7949
1122,C795
1123,C7951
1124,C796
1125,C7960
1126,C7961
1127,C7962
1128,C797
1129,C7970
1130,C7971
1131,C7972
1132,C798
1133,C7981
1134,C7982
1135,C80
1136,C800
1137,C81-C96
1138,C81
1139,C810
1140,C8100
1141,C8101
1142,C8102
1143,C8103
1144,C8104
1145,C8105
1146,C8106
1147,C8107
1148,C8108
1149,C8109
1150,C811
1151,C8110
1152,C8111
1153,C8112
1154,C8113
1155,C8114
1156,C8115
1157,C8116
1158,C8117
1159,C8118
1160,C8119
1161,C812
1162,C8120
1163,C8121
1164,C8122
1165,C8123
1166,C8124
1167,C8125
1168,C8126
1169,C8127
1170,C8128
1171,C8129
1172,C813
1173,C8130
1174,C8131
1175,C8132
1176,C8133
1177,C8134
1178,C8135
1179,C8136
1180,C8137
1181,C8138
1182,C8139
1183,C814
1184,C8140
1185,C8141
1186,C8142
1187,C8143
1188,C8144
1189,C8145
1190,C8146
1191,C8147
1192,C8148
1193,C8149
1194,C817
1195,C8170
1196,C8171
1197,C8172
1198,C8173
1199,C8174
1200,C8175
1201,C8176
1202,C8177
1203,C8178
1204,C8179
1205,C819
1206,C8190
1207,C8191
1208,C8192
1209,C8193
1210,C8194
1211,C8195
1212,C8196
1213,C8197
1214,C8198
1215,C8199
1216,C82
1217,C820
1218,C8200
1219,C8201
1220,C8202
1221,C8203
1222,C8204
1223,C8205
1224,C8206
1225,C8207
1226,C8208
1227,C8209
1228,C821
1229,C8210
1230,C8211
1231,C8212
1232,C8213
1233,C8214
1234,C8215
1235,C8216
1236,C8217
1237,C8218
1238,C8219
1239,C822
1240,C8220
1241,C8221
1242,C8222
1243,C8223
1244,C8224
1245,C8225
1246,C8226
1247,C8227
1248,C8228
1249,C8229
1250,C823
1251,C8230
1252,C8231
1253,C8232
1254,C8233
1255,C8234
1256,C8235
1257,C8236
1258,C8237
1259,C8238
1260,C8239
1261,C824
1262,C8240
1263,C8241
1264,C8242
1265,C8243
1266,C8244
1267,C8245
1268,C8246
1269,C8247
1270,C8248
1271,C8249
1272,C825
1273,C8250
1274,C8251
1275,C8252
1276,C8253
1277,C8254
1278,C8255
1279,C8256
1280,C8257
1281,C8258
1282,C8259
1283,C826
1284,C8260
1285,C8261
1286,C8262
1287,C8263
1288,C8264
1289,C8265
1290,C8266
1291,C8267
1292,C8268
1293,C8269
1294,C828
1295,C8280
1296,C8281
1297,C8282
1298,C8283
1299,C8284
1300,C8285
1301,C8286
1302,C8287
1303,C8288
1304,C8289
1305,C829
1306,C8290
1307,C8291
1308,C8292
1309,C8293
1310,C8294
1311,C8295
1312,C8296
1313,C8297
1314,C8298
1315,C8299
1316,C83
1317,C830
1318,C8300
1319,C8301
1320,C8302
1321,C8303
1322,C8304
1323,C8305
1324,C8306
1325,C8307
1326,C8308
1327,C8309
1328,C831
1329,C8310
1330,C8311
1331,C8312
1332,C8313
1333,C8314
1334,C8315
1335,C8316
1336,C8317
1337,C8318
1338,C8319
1339,C833
1340,C8330
1341,C8331
1342,C8332
1343,C8333
1344,C8334
1345,C8335
1346,C8336
1347,C8337
1348,C8338
1349,C8339
1350,C835
1351,C8350
1352,C8351
1353,C8352
1354,C8353
1355,C8354
1356,C8355
1357,C8356
1358,C8357
1359,C8358
1360,C8359
1361,C837
1362,C8370
1363,C8371
1364,C8372
1365,C8373
1366,C8374
1367,C8375
1368,C8376
1369,C8377
1370,C8378
1371,C8379
1372,C838
1373,C8380
1374,C8381
1375,C8382
1376,C8383
1377,C8384
1378,C8385
1379,C8386
1380,C8387
1381,C8388
1382,C8389
1383,C839
1384,C8390
1385,C8391
1386,C8392
1387,C8393
1388,C8394
1389,C8395
1390,C8396
1391,C8397
1392,C8398
1393,C8399
1394,C85
1395,C851
1396,C8510
1397,C8511
1398,C8512
1399,C8513
1400,C8514
1401,C8515
1402,C8516
1403,C8517
1404,C8518
1405,C8519
1406,C852
1407,C8520
1408,C8521
1409,C8522
1410,C8523
1411,C8524
1412,C8525
1413,C8526
1414,C8527
1415,C8528
1416,C8529
1417,C858
1418,C8580
1419,C8581
1420,C8582
1421,C8583
1422,C8584
1423,C8585
1424,C8586
1425,C8587
1426,C8588
1427,C8589
1428,C8590
1429,C8591
1430,C8592
1431,C8593
1432,C8594
1433,C8595
1434,C8596
1435,C8597
1436,C8598
1437,C8599
1438,C88
1439,C882
1440,C883
1441,C884
1442,C888
1443,C889
1444,C90
1445,C9000
1446,C9002
1447,C901
1448,C9010
1449,C9012
1450,C902
1451,C9020
1452,C9022
1453,C903
1454,C9030
1455,C9031
1456,C9032
1457,C91
1458,C910
1459,C9100
1460,C9101
1461,C9102
1462,C911
1463,C9110
1464,C9111
1465,C9112
1466,C913
1467,C9130
1468,C9131
1469,C9132
1470,C914
1471,C9140
1472,C9141
1473,C9142
1474,C915
1475,C9150
1476,C9151
1477,C9152
1478,C916
1479,C9160
1480,C9161
1481,C9162
1482,C919
1483,C9190
1484,C9191
1485,C9192
1486,C91A
1487,C91A0
1488,C91A1
1489,C91A2
1490,C91Z
1491,C91Z0
1492,C91Z1
1493,C91Z2
1494,C92
1495,C920
1496,C9200
1497,C9201
1498,C9202
1499,C921
1500,C9211
1501,C9212
1502,C922
1503,C9220
1504,C9221
1505,C9222
1506,C923
1507,C9230
1508,C9231
1509,C9232
1510,C924
1511,C9240
1512,C9241
1513,C9242
1514,C925
1515,C9250
1516,C9251
1517,C9252
1518,C926
1519,C9260
1520,C9261
1521,C9262
1522,C929
1523,C9290
1524,C9291
1525,C9292
1526,C92A
1527,C92A0
1528,C92A1
1529,C92A2
1530,C92Z
1531,C92Z0
1532,C92Z1
1533,C92Z2
1534,C93
1535,C930
1536,C9300
1537,C9301
1538,C9302
1539,C931
1540,C9310
1541,C9311
1542,C9312
1543,C933
1544,C9330
1545,C9331
1546,C9332
1547,C939
1548,C9390
1549,C9391
1550,C9392
1551,C93Z
1552,C93Z0
1553,C93Z1
1554,C93Z2
1555,C94
1556,C940
1557,C9400
1558,C9401
1559,C9402
1560,C942
1561,C9420
1562,C9421
1563,C9422
1564,C943
1565,C9430
1566,C9431
1567,C9432
1568,C944
1569,C9440
1570,C9441
1571,C9442
1572,C946
1573,C948
1574,C9480
1575,C9481
1576,C9482
1577,C95
1578,C950
1579,C9500
1580,C9501
1581,C9502
1582,C951
1583,C9510
1584,C9511
1585,C9512
1586,C9590
1587,C9591
1588,C9592
1589,D00-D09
1590,D00
1591,D000
1592,D0000
1593,D0001
1594,D0002
1595,D0003
1596,D0004
1597,D0005
1598,D0006
1599,D0007
1600,D0008
1601,D001
1602,D002
1603,D01
1604,D010
1605,D011
1606,D012
1607,D014
1608,D0140
1609,D0149
1610,D015
1611,D017
1612,D019
1613,D02
1614,D020
1615,D021
1616,D022
1617,D0220
1618,D0221
1619,D0222
1620,D023
1621,D024
1622,D04
1623,D040
1624,D041
1625,D0410
1626,D0411
1627,D0412
1628,D042
1629,D0420
1630,D0421
1631,D0422
1632,D043
1633,D0430
1634,D0439
1635,D044
1636,D046
1637,D0460
1638,D0461
1639,D0462
1640,D047
1641,D0470
1642,D0471
1643,D0472
1644,D048
1645,D049
1646,D05
1647,D050
1648,D0500
1649,D0501
1650,D0502
1651,D051
1652,D0510
1653,D0511
1654,D0512
1655,D058
1656,D0580
1657,D0581
1658,D0582
1659,D059
1660,D0590
1661,D0591
1662,D0592
1663,D07
1664,D070
1665,D073
1666,D0730
1667,D0739
1668,D075
1669,D076
1670,D0760
1671,D0769
1672,D09
1673,D090
1674,D091
1675,D0910
1676,D0919
1677,D092
1678,D0920
1679,D0921
1680,D0922
1681,D093
1682,D098
1683,D099
1684,D10-D36
1685,D10
1686,D101
1687,D102
1688,D103
1689,D1030
1690,D104
1691,D107
1692,D109
1693,D11
1694,D110
1695,D117
1696,D119
1697,D12
1698,D120
1699,D121
1700,D122
1701,D123
1702,D124
1703,D125
1704,D126
1705,D127
1706,D128
1707,D13
1708,D130
1709,D131
1710,D132
1711,D133
1712,D1330
1713,D1339
1714,D134
1715,D135
1716,D136
1717,D139
1718,D14
1719,D142
1720,D143
1721,D1430
1722,D1431
1723,D1432
1724,D144
1725,D15
1726,D151
1727,D152
1728,D157
1729,D159
1730,D23
1731,D230
1732,D231
1733,D2310
1734,D2311
1735,D2312
1736,D232
1737,D2320
1738,D2321
1739,D2322
1740,D233
1741,D2330
1742,D234
1743,D236
1744,D2360
1745,D2361
1746,D2362
1747,D237
1748,D2370
1749,D2371
1750,D2372
1751,D239
1752,D26
1753,D261
1754,D267
1755,D269
1756,D29
1757,D290
1758,D292
1759,D2920
1760,D2921
1761,D2922
1762,D293
1763,D2930
1764,D2931
1765,D2932
1766,D294
1767,D298
1768,D299
1769,D30
1770,D300
1771,D3000
1772,D3001
1773,D3002
1774,D301
1775,D3010
1776,D3011
1777,D3012
1778,D302
1779,D3020
1780,D3021
1781,D3022
1782,D303
1783,D304
1784,D308
1785,D309
1786,D31
1787,D310
1788,D3100
1789,D3101
1790,D3102
1791,D311
1792,D3110
1793,D3111
1794,D3112
1795,D312
1796,D3120
1797,D3121
1798,D3122
1799,D313
1800,D3130
1801,D3131
1802,D3132
1803,D314
1804,D3140
1805,D3141
1806,D3142
1807,D315
1808,D3150
1809,D3151
1810,D3152
1811,D316
1812,D3160
1813,D3161
1814,D3162
1815,D319
1816,D3190
1817,D3191
1818,D3192
1819,D33
1820,D330
1821,D331
1822,D332
1823,D334
1824,D337
1825,D339
1826,D35
1827,D350
1828,D3500
1829,D3501
1830,D3502
1831,D351
1832,D352
1833,D353
1834,D354
1835,D355
1836,D357
1837,D359
1838,D36
1839,D360
1840,D361
1841,D3610
1842,D3611
1843,D3612
1844,D3613
1845,D3614
1846,D3615
1847,D3616
1848,D3617
1849,D369
1850,D37-D48
1851,D37
1852,D370
1853,D3701
1854,D3702
1855,D3703
1856,D37030
1857,D37031
1858,D37032
1859,D37039
1860,D3704
1861,D3705
1862,D3709
1863,D371
1864,D372
1865,D373
1866,D374
1867,D375
1868,D376
1869,D379
1870,D38
1871,D381
1872,D382
1873,D383
1874,D386
1875,D39
1876,D390
1877,D391
1878,D3910
1879,D3911
1880,D3912
1881,D398
1882,D399
1883,D3A-D3A
1884,D3A
1885,D3A0
1886,D3A00
1887,D3A01
1888,D3A010
1889,D3A011
1890,D3A012
1891,D3A019
1892,D3A02
1893,D3A020
1894,D3A021
1895,D3A022
1896,D3A023
1897,D3A024
1898,D3A025
1899,D3A026
1900,D3A029
1901,D3A09
1902,D3A090
1903,D3A092
1904,D3A093
1905,D3A094
1906,D3A095
1907,D3A096
1908,D3A098
1909,D3A8
1910,D40
1911,D400
1912,D401
1913,D4010
1914,D4011
1915,D4012
1916,D408
1917,D409
1918,D41
1919,D410
1920,D4100
1921,D4101
1922,D4102
1923,D411
1924,D4110
1925,D4111
1926,D4112
1927,D412
1928,D4120
1929,D4121
1930,D4122
1931,D413
1932,D418
1933,D419
1934,D42
1935,D420
1936,D421
1937,D429
1938,D43
1939,D430
1940,D431
1941,D432
1942,D433
1943,D434
1944,D438
1945,D439
1946,D44
1947,D440
1948,D441
1949,D4410
1950,D4411
1951,D4412
1952,D442
1953,D443
1954,D444
1955,D445
1956,D446
1957,D447
1958,D449
1959,D47
1960,D470
1961,D4709
1962,D471
1963,D474
1964,D479
1965,D47Z
1966,D47Z2
1967,D47Z9
1968,D48
1969,D484
1970,D486
1971,D4860
1972,D4861
1973,D4862
1974,D489
1975,D49-D49
1976,D49
1977,D490
1978,D491
1979,D492
1980,D493
1981,D494
1982,D495
1983,D4951
1984,D49511
1985,D49512
1986,D49519
1987,D4959
1988,D496
1989,D497
1990,D498
1991,D4981
1992,D4989
1993,D499
1994,D50-D89
1995,D50-D53
1996,D50
1997,D501
1998,D508
1999,D509
2000,D51
2001,D510
2002,D511
2003,D512
2004,D513
2005,D518
2006,D519
2007,D52
2008,D520
2009,D521
2010,D528
2011,D529
2012,D53
2013,D531
2014,D538
2015,D539
2016,D55-D59
2017,D55
2018,D550
2019,D551
2020,D552
2021,D553
2022,D558
2023,D559
2024,D56
2025,D560
2026,D561
2027,D562
2028,D563
2029,D564
2030,D565
2031,D568
2032,D569
2033,D59
2034,D590
2035,D591
2036,D594
2037,D595
2038,D596
2039,D598
2040,D599
2041,D60-D64
2042,D60
2043,D600
2044,D601
2045,D608
2046,D61
2047,D610
2048,D612
2049,D613
2050,D618
2051,D6181
2052,D61810
2053,D61811
2054,D61818
2055,D6182
2056,D6189
2057,D619
2058,D63
2059,D630
2060,D631
2061,D638
2062,D64
2063,D640
2064,D641
2065,D642
2066,D643
2067,D644
2068,D648
2069,D6481
2070,D6489
2071,D65-D69
2072,D68
2073,D682
2074,D683
2075,D6831
2076,D68311
2077,D68312
2078,D68318
2079,D6832
2080,D684
2081,D685
2082,D6851
2083,D6852
2084,D6859
2085,D686
2086,D6861
2087,D6862
2088,D6869
2089,D688
2090,D689
2091,D69
2092,D691
2093,D692
2094,D694
2095,D6941
2096,D6942
2097,D6949
2098,D695
2099,D6959
2100,D696
2101,D699
2102,D70-D77
2103,D72
2104,D720
2105,D721
2106,D728
2107,D7281
2108,D72810
2109,D72818
2110,D72819
2111,D7282
2112,D72820
2113,D72821
2114,D72822
2115,D72823
2116,D72825
2117,D72828
2118,D72829
2119,D7289
2120,D729
2121,D73
2122,D730
2123,D731
2124,D732
2125,D733
2126,D734
2127,D735
2128,D738
2129,D7389
2130,D739
2131,D74
2132,D740
2133,D748
2134,D749
2135,D75
2136,D758
2137,D7581
2138,D7582
2139,D7589
2140,D759
2141,D76
2142,D761
2143,D762
2144,D763
2145,D80-D89
2146,D80
2147,D801
2148,D802
2149,D803
2150,D804
2151,D805
2152,D806
2153,D808
2154,D809
2155,D82
2156,D820
2157,D822
2158,D823
2159,D824
2160,D828
2161,D829
2162,D83
2163,D830
2164,D831
2165,D832
2166,D838
2167,D839
2168,D84
2169,D840
2170,D848
2171,D849
2172,D86
2173,D860
2174,D861
2175,D862
2176,D863
2177,D868
2178,D8681
2179,D8683
2180,D869
2181,D89
2182,D893
2183,D894
2184,D8940
2185,D8941
2186,D8942
2187,D8943
2188,D8949
2189,D898
2190,D8981
2191,D89810
2192,D89811
2193,D89812
2194,D89813
2195,D8982
2196,D8989
2197,D899
2198,E00-E89
2199,E00-E07
2200,E01
2201,E010
2202,E011
2203,E012
2204,E018
2205,E04
2206,E040
2207,E041
2208,E042
2209,E048
2210,E049
2211,E05
2212,E050
2213,E0500
2214,E0501
2215,E051
2216,E0510
2217,E0511
2218,E052
2219,E0520
2220,E0521
2221,E053
2222,E0530
2223,E0531
2224,E054
2225,E0540
2226,E0541
2227,E058
2228,E0580
2229,E0581
2230,E059
2231,E0590
2232,E0591
2233,E06
2234,E060
2235,E061
2236,E064
2237,E065
2238,E069
2239,E07
2240,E070
2241,E078
2242,E0781
2243,E0789
2244,E079
2245,E15-E16
2246,E16
2247,E160
2248,E161
2249,E168
2250,E169
2251,E20-E35
2252,E21
2253,E211
2254,E212
2255,E214
2256,E215
2257,E22
2258,E220
2259,E221
2260,E222
2261,E229
2262,E23
2263,E231
2264,E233
2265,E237
2266,E26
2267,E260
2268,E2601
2269,E2602
2270,E2609
2271,E261
2272,E268
2273,E2681
2274,E2689
2275,E269
2276,E27
2277,E271
2278,E272
2279,E273
2280,E274
2281,E2740
2282,E2749
2283,E275
2284,E278
2285,E279
2286,E29
2287,E290
2288,E298
2289,E299
2290,E30
2291,E308
2292,E309
2293,E31
2294,E310
2295,E311
2296,E312
2297,E3120
2298,E3121
2299,E3122
2300,E3123
2301,E318
2302,E319
2303,E32
2304,E320
2305,E321
2306,E328
2307,E329
